rank,genre
1,Drama
69,Action
69,Crime
69,Drama
73,Biography
73,Drama
73,History
73,War
70,Animation
70,Action
70,Adventure
70,Comedy
70,Family
70,Fantasy
70,Sci-Fi
68,Comedy
68,War
67,Drama
72,Action
72,Drama
72,Mystery
72,Thriller
71,Crime
71,Drama
71,Thriller
66,Action
66,Adventure
66,Sci-Fi
66,Thriller
64,Crime
64,Drama
64,Mystery
64,Thriller
62,Drama
62,Horror
60,Drama
60,Film-Noir
65,Action
65,Adventure
65,Sci-Fi
61,Drama
61,War
59,Drama
59,Mystery
59,Thriller
63,Comedy
63,Drama
63,War
250,Crime
250,Drama
250,Mystery
248,Animation
248,Family
248,Fantasy
248,Musical
248,Romance
249,Adventure
249,Drama
249,Western
247,Drama
246,Animation
246,Adventure
246,Comedy
246,Family
246,Fantasy
246,Musical
246,Romance
244,Drama
244,Romance
244,Thriller
245,Biography
245,Drama
242,Biography
242,Drama
242,Family
242,Musical
242,Romance
241,Comedy
240,Crime
240,Drama
239,Drama
239,Thriller
243,Comedy
243,Romance
238,Drama
238,Family
236,Action
236,Adventure
236,Fantasy
235,Adventure
235,Biography
235,Drama
237,Crime
237,Drama
233,Crime
233,Drama
234,Drama
234,Thriller
232,Biography
232,Drama
232,Family
231,Drama
229,Drama
229,Film-Noir
229,Mystery
229,Romance
229,Thriller
230,Drama
230,War
227,Animation
227,Action
227,Adventure
227,Family
225,Drama
225,Romance
226,Drama
226,Romance
226,War
228,Comedy
228,Romance
228,War
223,Animation
223,Adventure
223,Comedy
223,Family
223,Fantasy
224,Horror
222,Comedy
222,Drama
222,Fantasy
222,Romance
221,Action
221,Drama
221,Sci-Fi
221,Thriller
220,Adventure
220,Family
220,Fantasy
220,Musical
217,Biography
217,Crime
217,Drama
218,Adventure
218,Biography
218,Drama
216,Action
216,Biography
216,Drama
216,Sport
219,Drama
214,Adventure
214,Drama
215,Action
215,Sci-Fi
212,Drama
212,Sport
209,Drama
211,Drama
211,War
210,Comedy
210,Drama
208,Biography
208,Drama
208,History
208,War
213,Action
213,Biography
213,Drama
213,Sport
206,Biography
206,Drama
206,History
207,Drama
205,Adventure
205,Thriller
202,Action
202,Adventure
202,Sci-Fi
202,Thriller
203,Animation
203,Comedy
203,Drama
200,Comedy
200,Crime
201,Animation
201,Action
201,Adventure
201,Comedy
201,Family
201,Fantasy
204,Animation
204,Adventure
204,Comedy
204,Family
204,Fantasy
199,Comedy
199,Drama
199,Thriller
198,Animation
198,Adventure
198,Comedy
198,Family
197,Biography
197,Drama
197,History
197,War
196,Drama
196,Fantasy
195,Crime
195,Drama
195,Mystery
195,Thriller
193,Adventure
193,Drama
193,War
192,Action
192,Comedy
192,Romance
191,Adventure
191,Drama
191,Thriller
194,Drama
194,Thriller
190,Comedy
190,Drama
189,Adventure
189,Comedy
189,Crime
188,Biography
188,Crime
188,Drama
187,Adventure
187,Fantasy
187,Mystery
185,Drama
185,War
186,Drama
186,Romance
183,Drama
183,Mystery
183,Thriller
181,Action
181,Adventure
181,Comedy
181,Drama
181,War
180,Adventure
180,Drama
180,History
182,Biography
182,Drama
182,History
184,Drama
184,Romance
179,Drama
179,Family
179,Sport
174,Adventure
174,Comedy
174,Drama
174,Western
178,Film-Noir
178,Mystery
178,Thriller
173,Drama
173,Sport
177,Crime
177,Drama
177,Thriller
176,Biography
176,Crime
176,Drama
175,Action
175,Drama
175,Sci-Fi
175,Thriller
171,Animation
171,Comedy
171,Family
171,Fantasy
172,Crime
172,Drama
172,Mystery
172,Thriller
170,Crime
170,Thriller
168,Drama
169,Action
169,Drama
169,Sport
167,Drama
166,Comedy
166,Crime
166,Drama
165,Animation
165,Adventure
165,Family
165,Fantasy
164,Adventure
164,Drama
164,War
161,Horror
161,Mystery
161,Sci-Fi
163,Drama
163,Mystery
163,Romance
163,Thriller
162,Crime
162,Thriller
157,Drama
157,History
157,Romance
157,War
159,Animation
159,Adventure
159,Comedy
159,Drama
159,Family
159,Fantasy
160,Action
160,Comedy
160,Crime
156,Drama
156,Mystery
156,Thriller
154,Animation
154,Adventure
154,Comedy
154,Family
158,Action
158,Drama
158,Sci-Fi
158,Thriller
155,Biography
155,Drama
155,Sport
153,Biography
153,Drama
150,Action
150,Crime
150,Drama
150,Thriller
151,Action
151,Adventure
151,Sci-Fi
151,Thriller
152,Crime
152,Drama
152,Thriller
147,Crime
147,Drama
147,Mystery
148,Adventure
148,Drama
148,History
148,Thriller
148,War
145,Action
145,Drama
145,Thriller
149,Mystery
149,Thriller
146,Adventure
146,Drama
146,Western
142,Biography
142,Drama
143,Adventure
143,Comedy
143,Fantasy
144,Comedy
144,Drama
141,Drama
141,Mystery
141,Thriller
138,Crime
138,Drama
136,Drama
136,Western
135,Drama
135,War
140,Drama
139,Action
139,Drama
139,War
134,Biography
134,Comedy
134,Crime
134,Drama
137,Drama
137,Fantasy
137,War
133,Biography
133,Comedy
133,Drama
133,Music
132,Drama
129,Comedy
129,Drama
129,Family
131,Drama
131,Mystery
128,Action
128,Biography
128,Drama
128,Sport
130,Comedy
130,Music
130,Romance
127,Action
127,Crime
127,Drama
126,Western
124,Drama
124,Family
123,Action
123,Drama
123,War
125,Biography
125,Drama
125,History
125,War
121,Action
121,Adventure
120,Drama
120,Mystery
120,War
122,Drama
119,Action
119,Thriller
118,Drama
116,Drama
116,Sci-Fi
117,Comedy
117,Crime
114,Animation
114,Adventure
114,Comedy
114,Drama
114,Family
112,Crime
112,Drama
112,Mystery
112,Thriller
115,Action
115,Crime
115,Drama
111,Comedy
111,Crime
111,Drama
110,Crime
110,Drama
113,Biography
113,Drama
113,History
113,Musical
109,Drama
107,Action
107,Adventure
107,Fantasy
107,Sci-Fi
106,Crime
106,Drama
108,Crime
108,Drama
104,Crime
104,Drama
104,Film-Noir
104,Mystery
104,Thriller
105,Comedy
105,Drama
105,Romance
103,Drama
103,War
102,Drama
102,Thriller
102,War
100,Comedy
100,Romance
101,Crime
101,Sci-Fi
98,Action
98,Adventure
98,Mystery
98,Thriller
95,Adventure
95,Biography
95,Drama
95,War
99,Mystery
99,Romance
99,Thriller
97,Drama
96,Crime
96,Mystery
96,Thriller
94,Drama
92,Crime
92,Drama
92,Mystery
92,Thriller
90,Crime
90,Drama
90,Thriller
93,Drama
93,Mystery
88,Action
88,Adventure
88,Fantasy
88,Sci-Fi
91,Drama
91,Romance
91,Sci-Fi
89,Adventure
89,Sci-Fi
87,Comedy
87,Drama
85,Comedy
85,Musical
85,Romance
84,Animation
84,Adventure
84,Comedy
84,Family
84,Fantasy
83,Drama
82,Drama
82,Romance
86,Animation
86,Drama
86,Fantasy
86,Romance
81,Action
81,Adventure
81,Drama
81,Sci-Fi
80,Crime
80,Drama
76,Animation
76,Adventure
76,Comedy
76,Family
76,Fantasy
76,Music
76,Mystery
79,Animation
79,Action
79,Adventure
79,Fantasy
74,Biography
74,Drama
74,Music
77,Drama
77,War
78,Adventure
78,Drama
78,War
57,Drama
57,Western
58,Animation
58,Adventure
58,Family
58,Sci-Fi
56,Action
56,Adventure
54,Drama
54,Mystery
54,War
55,Action
55,Adventure
55,Comedy
55,Fantasy
55,Sci-Fi
53,Mystery
53,Thriller
51,Comedy
51,Drama
51,Romance
52,Drama
52,Romance
75,Animation
75,Adventure
75,Comedy
75,Family
75,Fantasy
49,Mystery
49,Thriller
48,Animation
48,Drama
48,War
50,Horror
50,Sci-Fi
46,Action
46,Drama
46,Mystery
45,Comedy
45,Drama
45,Romance
47,Western
44,Biography
44,Comedy
44,Drama
42,Drama
42,Romance
42,War
43,Drama
43,Music
41,Drama
41,Mystery
41,Thriller
39,Crime
39,Drama
39,Mystery
39,Thriller
38,Drama
40,Crime
40,Drama
40,Thriller
37,Action
37,Adventure
37,Drama
35,Comedy
35,Drama
35,Thriller
33,Biography
33,Drama
33,Music
33,War
34,Action
34,Crime
34,Drama
34,Thriller
31,Animation
31,Adventure
31,Family
31,Fantasy
31,Mystery
36,Animation
36,Adventure
36,Drama
36,Family
36,Musical
30,Adventure
30,Comedy
30,Sci-Fi
29,Action
29,Sci-Fi
32,Horror
32,Mystery
32,Thriller
28,Adventure
28,Drama
28,Sci-Fi
26,Crime
26,Drama
26,Fantasy
26,Mystery
27,Action
27,Adventure
27,Fantasy
27,Sci-Fi
24,Drama
24,War
25,Comedy
25,Drama
25,Romance
25,War
23,Crime
23,Drama
21,Drama
21,Family
21,Fantasy
21,Romance
22,Crime
22,Drama
22,Thriller
17,Biography
17,Crime
17,Drama
19,Crime
19,Drama
19,Mystery
19,Thriller
15,Action
15,Adventure
15,Fantasy
15,Sci-Fi
20,Action
20,Drama
16,Action
16,Sci-Fi
14,Action
14,Adventure
14,Drama
14,Fantasy
18,Drama
11,Drama
11,Romance
12,Drama
10,Adventure
10,Western
13,Action
13,Adventure
13,Sci-Fi
13,Thriller
7,Action
7,Adventure
7,Drama
7,Fantasy
9,Action
9,Adventure
9,Drama
9,Fantasy
8,Crime
8,Drama
6,Biography
6,Drama
6,History
5,Crime
5,Drama
3,Action
3,Crime
3,Drama
3,Thriller
4,Crime
4,Drama
2,Crime
2,Drama
